item;description;procedure;units;units_specification;value_cent;anaesthetic_units;anaesthetic_units_specification;anaesthetic_value_cent;category;sub_category;sub_sub_category;sub_sub_sub_category;note;tariff
1;Infra-red, Radiant heat, Wax therapy Hot packs;;1000;;7050;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2014
5;Ultraviolet light;;1700;;11980;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2014
6;Laser beam;;1700;;11980;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2014
7;Cryotherapy;;1000;;7050;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2014
103;Galvanism, Diodynamic current, Tens;;1000;;7050;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2014
105;Muscle and nerve stimulating currents;;1200;;8460;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2014
107;Interferential Therapy15;;1500;;10580;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2014
201;Shortwave diathermy;;1500;;10580;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2014
203;Ultrasound;;1700;;11980;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2014
205;Microwave;;1500;;10580;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2014
300;Vibration;;1310;;9240;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
301;Percussion;;1610;;11350;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
302;Massage;;1000;;7050;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
303;Myofacial release/soft tissue mobilisation, one or more body parts;;2009;;14160;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
310;Neural tissue mobilisation;;2000;;14100;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
314;Lymph drainage;;1000;;7050;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
304;Acupuncture;;2000;;14100;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
305;Re-education of movement/ Exercises (excluding ante- and post-natal exercises);;1004;;7070;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
307;Pre- and post-operative exercises and/or breathing exercises;;1004;;7070;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
308;Group exercises (excluding ante- and post-natal exercises - maximum of 10 in a group);;1000;;7050;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
309;Isokinetic treatment;;2000;;14100;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
313;Ante and post natal exercises/counselling;;0;;0;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
315;Postural drainage;;1307;;9220;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
